method,nodes,edges,density,edge_retention_rate,avg_clustering,connected_components,largest_component_size,year
Original,238,7743,0.13727263057121583,1.0,0.688039333904185,1,238,2001
disparity_filter,238,1042,0.018473212069637982,0.13457316285677387,0.3204992680658317,15,224,2001
minimum_spanning_tree,238,241,0.004272595113994965,0.031124886994704896,0.0,1,238,2001
Original,239,9512,0.16722337470553075,1.0,0.712868245137364,1,239,2008
disparity_filter,239,1227,0.02157097148482824,0.12899495374264086,0.37234669449644586,14,226,2008
minimum_spanning_tree,239,243,0.00427200168770437,0.02554667788057191,0.0,1,239,2008
Original,240,10632,0.18535564853556485,1.0,0.7264700022543098,1,240,2016
disparity_filter,240,1285,0.0224023709902371,0.12086155003762228,0.3769666452060557,12,229,2016
minimum_spanning_tree,240,244,0.004253835425383543,0.02294958615500376,0.0,1,240,2016
Original,240,10739,0.187221059972106,1.0,0.7533618096137129,1,240,2020
disparity_filter,240,1343,0.02341352859135286,0.12505819908743832,0.38355325255200234,10,231,2020
minimum_spanning_tree,240,243,0.004236401673640167,0.022627805196014525,0.0,1,240,2020
Original,241,9110,0.15750345781466113,1.0,0.8045535967064875,1,241,2024
disparity_filter,241,1125,0.01945020746887967,0.12349066959385291,0.31796230078556825,10,232,2024
minimum_spanning_tree,241,250,0.004322268326417704,0.027442371020856202,0.0,1,241,2024
