reporter,reporter_name,总出口额(十亿美元)
USA,USA,5832.88437951
CHN,China,3707.304241339
KOR,Rep. of Korea,3069.880186298
IND,India,2908.295389947982
RUS,Russian Federation,2903.172921378861
JPN,Japan,2822.1076446656584
NLD,Netherlands,2566.445602062187
SGP,Singapore,2447.554285641023
GBR,United Kingdom,2118.093722549439
FRA,France,2019.945519499121
DEU,Germany,1887.285742904339
ITA,Italy,1819.813811887479
NOR,Norway,1570.440518056027
ESP,Spain,1456.503726160416
AUS,Australia,1371.9174610425569
BEL,Belgium,1370.344076732265
IDN,Indonesia,1327.199302147138
CAN,Canada,1314.960066224532
MYS,Malaysia,1243.251685266582
NGA,Nigeria,1229.0639392550459
