year,original_usa_degree,original_usa_strength,mst_usa_degree,mst_usa_strength,mst_total_edges,mst_total_nodes,original_total_edges
2001,306,129130777708.554,21,95674896759.0,237,238,7743
2002,304,128447054985.198,25,99369824226.0,237,238,7859
2003,319,171236607014.439,29,136668102485.62,235,236,7976
2004,316,149475396926.246,25,97173347923.0,237,238,8460
2005,315,165734659893.33002,28,94303057866.0,235,236,8541
2006,318,189370019798.71402,23,105109349466.47,237,238,8931
2007,320,209650770043.26797,25,116400877805.56,236,237,9283
2008,315,276113931914.424,24,147922586656.94,238,239,9512
2009,324,217019776435.13898,29,140671051157.05002,239,240,9698
2010,323,257860798980.54303,23,151850378966.88004,239,240,9940
2011,322,324076072321.03296,26,172735184084.87,239,240,10174
2012,330,308355071730.505,21,143255401944.41998,242,243,10182
2013,325,303260984898.508,21,110845286423.61,243,244,10261
2014,320,286474407443.244,24,102355058869.88,240,241,10366
2015,329,221014255469.51105,21,97184016501.66101,240,241,10592
2016,324,206001572906.65802,28,92702935791.24101,239,240,10632
2017,336,252165427558.696,28,95389646221.41402,238,239,10824
2018,327,310557782085.546,31,116300893978.45099,239,240,10963
2019,328,300891489918.05884,34,130331883949.405,239,240,10952
2020,327,222896772388.842,30,83202461692.077,239,240,10739
2021,320,356593206487.11993,35,148518277982.67502,239,240,11021
2022,325,534304572215.8251,47,333128700412.109,240,241,11075
2023,319,455365688556.9521,46,272112388816.88602,240,241,11164
2024,292,459942059443.64905,43,262555894453.23196,240,241,9110
